«Белпочта» выступает за унификацию таможенных лимитов на посылки с соседями по ЕАЭС,"""https://content.onliner.by/news/550x298/3415a3ef02af9c55fe80c788ab42df05.jpeg""",«Белпочта» выступает за унификацию таможенных лимитов на посылки с соседями по ЕАЭС. Об этом сегодня в интервью телеканалу СТВ сообщил генеральный директор РУП «Белпочта» Владимир Матусевич.
Кто победит на детском «Евровидении»? Рассказываем про фаворитов и делаем ставки,"""https://content.onliner.by/news/550x298/6434611b3c5be2c1d106c5d0653ac6da.jpeg""","Сегодня в Минске состоится финал детского «Евровидения». Это как взрослое «Евровидение», но участвуют в нем дети. Вечером два десятка конкурсантов из разных стран будут петь и сражаться за победу, а м"
"Отношение к лоукостам, SkyWay и госпошлине: чем запомнился Анатолий Сивак на посту министра транспорта?","""https://content.onliner.by/news/550x298/e186bf3e7311694f2dafdf22fc83d931.jpeg""",Сегодня президент Беларуси Александр Лукашенко назначил Анатолия Сивака председателем Минского городского исполнительного комитета. До этого Анатолий Сивак в течение шести лет (с 2012 по 2018 год) был
Россельхознадзор ввел ограничения на поставки в РФ белорусской мясной продукции,"""https://content.onliner.by/news/550x298/299c841bb0406ee7c1d98c4adfaa424b.jpeg""",Россельхознадзор выявил нарушения ветеринарно-санитарных требований в животноводческой продукции одиннадцати белорусских предприятий. Такая информация опубликована сегодня на официальном сайте федерал
Новым мэром Минска назначен Анатолий Сивак,"""https://content.onliner.by/news/550x298/01445c086532e12f8c2250f0e2d62813.jpeg""","Президент Беларуси Александр Лукашенко назначил Анатолия Сивака, который до настоящего времени работал в должности министра транспорта и коммуникаций, председателем Минского городского исполнительного"
У нас есть немного drum’n’bass для вас... Трансляция из офиса Onliner,"""https://content.onliner.by/news/550x298/9e1cb649e0258943b04aab5d88c7c9a2.jpeg""","Как известно, в любой непонятной ситуации мы начинаем стримить музыку. И в понятной тоже. Продолжаем нашу традицию музыкальных вечеров. Сегодня мы вещаем прямо из офиса Onliner. В программе, как обычн"
Средняя зарплата белоруса — 999 рублей 70 копеек. Кто больше?,"""https://content.onliner.by/news/550x298/397ba5d169a8f80e1c23a09c209bd3e2.jpeg""","Белстат назвал среднюю начисленную зарплату за октябрь: 999,7 руб. Для сравнения, усредненный показатель за последние 10 месяцев — 938,8 руб. Больше всего получают минчане (1370,3 руб.), меньше всего "
"Новую погоду начинаем с воскресенья. Ждем снег, дождь и морозы до 16","""https://content.onliner.by/news/550x298/27aa73e4fec9c3a63e8f0daf36424167.jpeg""","Погода наша живет по графику какого угодно месяца, только не того, который на самом деле. Она настолько крута, что сама решает, какой месяц. Теперь вот из сентября перескочила в декабрь. Приготовьтесь"
"В Минске задержали вора в законе Рашада Гянджинского, который был «смотрящим» в Украине","""https://content.onliner.by/news/550x298/b16e0a6f0de4be3bc3d3b09b8d21cc8c.jpeg""","40-летнего вора в законе Рашада Мамеда оглы Исмаилова по кличке Рашад Гянджинский и еще четверых человек задержали 20 ноября в одном из гостиничных комплексов Минского района. Как сообщает МВД, в арен"
Андрей Кутило снял лучший документальный фильм по версии IDFA. Что это и о чем?,"""https://content.onliner.by/news/550x298/ee5a3f835a082b81ed3544ade238ae44.jpeg""",Об этом стало известно вчера: белорусский режиссер Андрей Кутило вместе с польским продюсером сняли фильм на границе двух стран. Документальный фильм «Сумма» победил в номинации «среднего метра» конку
Проверка слуха: подорожает ли проезд в общественном транспорте до конца года?,"""https://content.onliner.by/news/550x298/d412441df019bb694a0e566989bee13f.jpeg""","Несмотря на то, что бензин в стране регулярно дорожает на копейку, стоимость проезда в общественном транспорте пока остается стабильной. В этом году не было ни одного повышения цен на талончики и жето"
Создатель технологических стартапов Андрей Дюсьмикеев: мода на киборгов возникнет с появлением автономного искусственного сердца,"""https://content.onliner.by/news/550x298/6f291609ba64e349b706f511f542b5ad.jpeg""","Андрей Дюсьмикеев — технологический предприниматель, математик, программист, инженер, занимающийся солнечными технологиями. Основатель медицинского стартапа Coremergy и экологического Djinn Sensor. Ко"
"Врач Эмилия Мезина: «Изучаешь мозги излишне терпеливого мужчины, а они „побиты молью“. Кому нужна такая смелость?»","""https://content.onliner.by/news/550x298/2e0f9b3aebaf066b1a933d8ec5aa095f.jpeg""","Эмилия Мезина — врач с более чем 26-летним стажем. Специалист-невролог, ортопед. Член Белорусского общества радиологов. Автор 15 научных публикаций. С 2018 года — главный врач в медицинском центре «То"
"Журналист Onliner Александр Владыко: был памятник городовому, а пока что стал — какой-то глупости","""https://content.onliner.by/news/550x298/5f3b40e40c92528dcd29a4a5be493598.jpeg""","Александр Владыко — журналист Onliner, редактор раздела «Люди». Минчанин и специалист по мелким протестам. Рассказывал анекдоты в детском саду, митингует дома перед женой, уверен в превосходстве челов"
"Врач Елена Корсак: надоело, когда доктора используют по любому незначительному поводу","""https://content.onliner.by/news/550x298/61e3ad906c268694bdf73a90dab8e467.jpeg""","Елена Корсак — врач акушер-гинеколог высшей категории с 30-летним стажем, перинатальный психолог, основатель и руководитель школы осознанного родительства Briochinka Планета Семьи."
"Журналист Onliner Никита Мелкозеров: с женщиной намного выгоднее дружить, чем ее любить","""https://content.onliner.by/news/550x298/8d563ab1f7045bca45d122451855c9fe.jpeg""","Никита Мелкозеров — журналист Onliner. Любит маму, родину и спать. Горячо со старта любил некоторых женщин, но понял, что допускал неправильную последовательность действий."
Предприниматель Игорь Скорынин: «Пять детей и шесть внуков — что в итоге я узнал о воспитании?»,"""https://content.onliner.by/news/550x298/fc79bba28ab82cac96e1ecf63729b112.jpeg""","Игорь Скорынин — ветеран белорусского бизнеса, бывший ученый и действующий спортсмен. Многодетный отец, «многовнучный» дед и философ, избегающий серьезности. Совладелец нескольких компаний."
Фотомодель Кристина Марцинкевич: пропал огонь? Вы же сами «вылечили» мозги своему мужчине!,"""https://content.onliner.by/news/550x298/074e698abe0c646c8f657fb2c66c1536.jpeg""","Кристина Марцинкевич — основатель и идейный вдохновитель модельного агентства Bonito, первая вице-мисс Беларуси 2014 года. Участница многочисленных международных конкурсов красоты. По образованию — сп"
Эксперт по туризму Евгения Баско: сэкономить на раннем бронировании сотни евро и не попасться мошенникам,"""https://content.onliner.by/news/550x298/9a2f7f2ae35c6436ab6c03bc399a6bdd.jpeg""",Евгения Баско — руководитель туристической компании Alltour. Стаж работы в туристической сфере — 19 лет.
"Журналист Onliner.by Игорь Деменков: чтобы стать мужиком, нужно сходить на партнерские роды","""https://content.onliner.by/news/550x298/69b0ad4fb04e6405e3d8185c67bd97ec.jpeg""","Игорь Деменков — видеожурналист Onliner. С недавнего времени — молодой отец. Сходил на партнерские роды и теперь убежден: чтобы стать настоящим мужиком, парням нужно пережить не полтора года службы в "
"Психолог Екатерина Холод: связывая напрямую секс и серьезные отношения, вы очень усложняете себе жизнь","""https://content.onliner.by/news/550x298/c217ad1bef87ce0ebe7550418c03f4e8.jpeg""","Екатерина Холод — семейный психолог, гештальтпсихотерапевт, член Белорусской ассоциации психотерапевтов, консультант в области сексологии и семейных отношений. С Onliner.by 8 лет."
Журналист Onliner.by Андрей Новиков: лучше бы поликлинику построили!,"""https://content.onliner.by/news/550x298/ce212a832cca91410bd2cb17320c5ead.jpeg""","Андрей Новиков — журналист Onliner.by, живет в Гомеле. Ему недоступна роскошь, потому и бесится."
